gridstep,error
0.4,0.098965
0.39,0.095836
0.38,0.0860062
0.37,0.0961629
0.36,0.0899435
0.35,0.0716363
0.34,0.0774265
0.33,0.0851241
0.32,0.0826683
0.31,0.0768951
0.3,0.0763514
0.29,0.0744865
0.28,0.0692069
0.27,0.0709543
0.26,0.0561537
0.25,0.0612196
0.24,0.0595389
0.23,0.0654846
0.22,0.0588675
0.21,0.0546963
0.2,0.0493941
0.19,0.0457431
0.18,0.0437064
0.17,0.0432347
0.16,0.0365996
0.15,0.0366436
0.14,0.0366725
0.13,0.0297319
0.12,0.0284469
