gridstep,mean_distance
0.11,9.84043
0.1075,9.96896
0.105,9.99217
0.1025,10.0069
0.1,10.493
0.0975,10.7044
0.095,10.7301
0.0925,10.7902
0.09,11.315
0.0875,11.4897
0.085,11.5001
0.0825,12.0444
0.08,12.0111
0.0775,12.178
0.075,12.6647
0.0725,12.611
0.07,13.1617
0.0675,13.2415
0.065,13.5528
0.0625,13.8486
0.06,13.9075
0.0575,14.2318
0.055,14.4994
0.0525,14.7441
0.05,14.9032
0.0475,15.347
0.045,15.6657
0.0425,15.9278
0.04,16.2894
0.0375,16.7856
0.035,17.2194
