star,gridstep,mean_distance
1,1,2.81931
1,0.99,2.81931
1,0.98,2.81931
1,0.97,2.81931
1,0.96,2.89244
1,0.95,2.89244
1,0.94,2.8876
1,0.93,2.8876
1,0.92,2.8876
1,0.91,2.8876
1,0.9,3.07356
1,0.89,3.07356
1,0.88,3.16264
1,0.87,3.2113
1,0.86,3.11236
1,0.85,3.11236
1,0.84,3.11236
1,0.83,3.18149
1,0.82,3.2159
1,0.81,3.2159
1,0.8,3.2159
1,0.79,3.2159
1,0.78,3.43187
1,0.77,3.46173
1,0.76,3.46173
1,0.75,3.47342
1,0.74,3.45682
1,0.73,3.45682
1,0.72,3.58137
1,0.71,3.65393
1,0.7,3.96867
1,0.69,4.02434
1,0.68,4.07988
1,0.67,4.1483
1,0.66,4.0347
1,0.65,4.13984
1,0.64,4.35858
1,0.63,4.35858
1,0.62,4.39538
1,0.61,4.41865
1,0.6,4.42377
1,0.59,4.65281
1,0.58,4.68525
1,0.57,4.9651
1,0.56,4.92439
1,0.55,5.11777
1,0.54,5.14422
1,0.53,5.15667
1,0.52,5.19063
1,0.51,5.25864
1,0.5,5.62247
1,0.49,5.70066
1,0.48,5.76996
1,0.47,5.77034
1,0.46,5.80343
1,0.45,5.84743
1,0.44,6.2632
1,0.43,6.22295
1,0.42,6.2334
1,0.41,6.28079
1,0.4,6.74889
1,0.39,6.90083
1,0.38,6.92448
1,0.37,7.34079
1,0.36,7.30229
1,0.35,7.6638
1,0.34,7.72446
1,0.33,7.94546
1,0.32,8.00009
1,0.31,8.23001
1,0.3,8.85248
1,0.29,8.89596
1,0.28,9.1254
1,0.27,9.35637
1,0.26,9.5877
1,0.25,10.3563
1,0.24,10.5906
1,0.23,10.8627
1,0.22,11.1747
1,0.21,11.4553
1,0.2,12.5171
1,0.19,12.7947
1,0.18,13.0954
1,0.17,14.259
1,0.16,14.5803
1,0.15,14.837
1,0.14,16.2256
1,0.13,16.4488
1,0.12,17.8438
1,0.11,19.3537
1,0.1,19.5633
