gridstep,mean_distance
0.4,2.69995
0.39,2.70007
0.38,2.70121
0.37,2.6971
0.36,2.70217
0.35,2.70163
0.34,2.69926
0.33,4.06507
0.32,4.06236
0.31,4.06318
0.3,4.06468
0.29,4.06397
0.28,4.06389
0.27,4.06249
0.26,4.06547
0.25,5.33111
0.24,5.33314
0.23,5.32905
0.22,5.33175
0.21,5.33117
0.2,6.68477
0.19,6.68157
0.18,6.68443
0.17,6.68329
0.16,7.97742
0.15,7.97726
0.14,9.3493
0.13,9.3482
0.12,10.6593
