gridstep,mean_distance
0.11,6.84027
0.1075,6.86662
0.105,6.89349
0.1025,6.8876
0.1,7.10659
0.0975,7.17476
0.095,7.08586
0.0925,7.15032
0.09,7.30406
0.0875,7.39896
0.085,7.36319
0.0825,7.57459
0.08,7.56288
0.0775,7.76881
0.075,7.80944
0.0725,7.89019
0.07,7.9732
0.0675,8.13635
0.065,8.24988
0.0625,8.34883
0.06,8.52797
0.0575,8.68394
0.055,8.80353
0.0525,8.94209
0.05,9.11658
0.0475,9.27233
0.045,9.46407
0.0425,9.75226
0.04,9.98011
0.0375,10.29
0.035,10.518
0.0325,10.8303
0.03,11.2682
