gridstep,mean_distance
0.4,2.69984
0.39,2.69997
0.38,2.7012
0.37,2.69709
0.36,2.70134
0.35,2.70145
0.34,2.69914
0.33,4.05789
0.32,4.05547
0.31,4.06023
0.3,4.0578
0.29,4.05973
0.28,4.05759
0.27,4.05616
0.26,4.06215
0.25,5.31817
0.24,5.31756
0.23,5.31766
0.22,5.32106
0.21,5.31591
0.2,6.65276
0.19,6.65125
0.18,6.65321
0.17,6.65262
0.16,7.90945
0.15,7.91649
0.14,9.20894
0.13,9.24872
0.12,10.4636
