star,gridstep,mean_distance
2,1,2.94934
2,0.99,2.94934
2,0.98,2.94934
2,0.97,2.94934
2,0.96,2.94934
2,0.95,2.94934
2,0.94,2.94934
2,0.93,2.94934
2,0.92,3.06724
2,0.91,3.06724
2,0.9,3.06724
2,0.89,3.06724
2,0.88,3.06724
2,0.87,3.13025
2,0.86,3.15461
2,0.85,3.15461
2,0.84,3.15461
2,0.83,3.15461
2,0.82,3.15461
2,0.81,3.15461
2,0.8,3.15461
2,0.79,3.15461
2,0.78,3.11947
2,0.77,3.1425
2,0.76,3.20239
2,0.75,3.30458
2,0.74,3.30458
2,0.73,3.30458
2,0.72,3.30458
2,0.71,3.30458
2,0.7,3.45532
2,0.69,3.45532
2,0.68,3.45532
2,0.67,3.43572
2,0.66,3.44305
2,0.65,3.44305
2,0.64,3.83873
2,0.63,3.83873
2,0.62,3.81278
2,0.61,3.82061
2,0.6,4.01958
2,0.59,4.01958
2,0.58,4.01958
2,0.57,4.0247
2,0.56,3.98263
2,0.55,4.06497
2,0.54,4.07859
2,0.53,4.17684
2,0.52,4.1986
2,0.51,4.25637
2,0.5,4.96754
2,0.49,4.93247
2,0.48,4.98459
2,0.47,4.98186
2,0.46,5.31375
2,0.45,5.32856
2,0.44,5.37321
2,0.43,5.4474
2,0.42,5.54139
2,0.41,5.58881
2,0.4,5.78223
2,0.39,5.82075
2,0.38,5.92031
2,0.37,6.03468
2,0.36,6.05704
2,0.35,6.26385
2,0.34,6.30251
2,0.33,7.15213
2,0.32,7.20496
2,0.31,7.48958
2,0.3,7.69836
2,0.29,7.61575
2,0.28,7.80764
2,0.27,8.01082
2,0.26,8.32666
2,0.25,9.00587
2,0.24,9.17191
2,0.23,9.60134
2,0.22,9.82611
2,0.21,10.0329
2,0.2,10.9132
2,0.19,11.1299
2,0.18,11.3779
2,0.17,12.0863
2,0.16,12.5295
2,0.15,12.8852
2,0.14,13.9
2,0.13,14.1996
2,0.12,15.2055
2,0.11,16.2918
2,0.1,16.8144
2,0.09,18.1241
2,0.08,19.4143
2,0.07,20.8597
2,0.06,23.3311
