gridstep,error
0.4,0.0175976
0.39,0.0194359
0.38,0.0140973
0.37,0.0156435
0.36,0.0218751
0.35,0.0160911
0.34,0.0110026
0.33,0.0115321
0.32,0.014154
0.31,0.00916507
0.3,0.0133577
0.29,0.0112458
0.28,0.00780565
0.27,0.00711748
0.26,0.0118905
0.25,0.00928532
0.24,0.00968574
0.23,0.00744079
0.22,0.00601338
0.21,0.00791696
0.2,0.00738531
0.19,0.00594316
0.18,0.00588805
0.17,0.0054755
0.16,0.00412448
0.15,0.00483461
0.14,0.0038315
0.13,0.00306551
0.12,0.00354729
