gridstep,error
0.4,0.0427519
0.39,0.0666832
0.38,0.0400846
0.37,0.054234
0.36,0.0417657
0.35,0.036257
0.34,0.0411186
0.33,0.0525572
0.32,0.061648
0.31,0.0646369
0.3,0.0370066
0.29,0.0642891
0.28,0.0598522
0.27,0.0480967
0.26,0.0440546
0.25,0.0336804
0.24,0.0441193
0.23,0.0566468
0.22,0.0388913
0.21,0.0381437
0.2,0.0344399
0.19,0.0478148
0.18,0.0386822
0.17,0.0389371
0.16,0.0507581
0.15,0.0368191
0.14,0.0513567
0.13,0.0491064
0.12,0.0394291
