gridstep,error
0.4,0.0529589
0.39,0.06068
0.38,0.0630633
0.37,0.0531038
0.36,0.0374285
0.35,0.0420304
0.34,0.0397378
0.33,0.0383402
0.32,0.0410369
0.31,0.0511196
0.3,0.0550673
0.29,0.0478995
0.28,0.0370285
0.27,0.033938
0.26,0.0418472
0.25,0.0600112
0.24,0.0398545
0.23,0.0362107
0.22,0.0412162
0.21,0.0377639
0.2,0.0527958
0.19,0.0312689
0.18,0.0498437
0.17,0.0425129
0.16,0.0248363
0.15,0.0551855
0.14,0.0283698
0.13,0.0335868
0.12,0.0486113
