gridstep,error
0.4,0.116934
0.39,0.0920579
0.38,0.112902
0.37,0.100627
0.36,0.106314
0.35,0.148932
0.34,0.117916
0.33,0.1093
0.32,0.117094
0.31,0.116728
0.3,0.114453
0.29,0.109648
0.28,0.0948439
0.27,0.120596
0.26,0.129403
0.25,0.0883384
0.24,0.127146
0.23,0.112641
0.22,0.105478
0.21,0.117802
0.2,0.120523
0.19,0.133652
0.18,0.113177
0.17,0.115146
0.16,0.154279
0.15,0.146069
0.14,0.14828
0.13,0.139678
0.12,0.166404
