gridstep,mean_distance
0.4,2.71179
0.39,2.7107
0.38,2.71249
0.37,2.71084
0.36,2.71124
0.35,2.71069
0.34,2.71095
0.33,4.09035
0.32,4.08922
0.31,4.08821
0.3,4.0874
0.29,4.08792
0.28,4.08862
0.27,4.08995
0.26,4.0888
0.25,5.34454
0.24,5.34477
0.23,5.3447
0.22,5.34578
0.21,5.34678
0.2,6.68113
0.19,6.6819
0.18,6.68369
0.17,6.68582
0.16,7.97495
0.15,7.97903
0.14,9.31673
0.13,9.32638
0.12,10.5952
