gridstep,error
0.4,0.76054
0.39,0.757626
0.38,0.756309
0.37,0.725741
0.36,0.700099
0.35,0.696898
0.34,0.650371
0.33,0.624521
0.32,0.627447
0.31,0.620707
0.3,0.597821
0.29,0.562117
0.28,0.567077
0.27,0.495757
0.26,0.481696
0.25,0.464349
0.24,0.461234
0.23,0.426912
0.22,0.402581
0.21,0.361842
0.2,0.350016
0.19,0.302442
0.18,0.261257
0.17,0.215759
0.16,0.165476
0.15,0.0817065
0.14,0.0169914
0.13,0.0169001
0.12,0.0134115
