star,gridstep,mean_distance
2,1,1.60973
2,0.99,1.60973
2,0.98,1.60973
2,0.97,2.192
2,0.96,2.192
2,0.95,2.192
2,0.94,2.192
2,0.93,2.192
2,0.92,2.192
2,0.91,2.192
2,0.9,2.192
2,0.89,2.192
2,0.88,2.192
2,0.87,2.192
2,0.86,2.48232
2,0.85,2.48232
2,0.84,2.70035
2,0.83,2.70035
2,0.82,2.70035
2,0.81,2.70035
2,0.8,2.93664
2,0.79,2.93664
2,0.78,2.93664
2,0.77,2.89241
2,0.76,2.89241
2,0.75,3.20698
2,0.74,3.20698
2,0.73,3.20698
2,0.72,3.20698
2,0.71,3.20698
2,0.7,3.27201
2,0.69,3.36794
2,0.68,3.67807
2,0.67,3.67807
2,0.66,3.80109
2,0.65,4.14807
2,0.64,4.14807
2,0.63,4.14807
2,0.62,4.31979
2,0.61,4.58582
2,0.6,4.67381
2,0.59,4.73374
2,0.58,4.79527
2,0.57,5.07864
2,0.56,5.37031
2,0.55,5.45504
2,0.54,5.58564
2,0.53,5.60849
2,0.52,6.00866
2,0.51,6.17958
2,0.5,6.31301
2,0.49,6.7032
2,0.48,6.76496
2,0.47,6.92523
2,0.46,7.11508
2,0.45,7.07532
2,0.44,7.51271
2,0.43,7.63188
2,0.42,7.75248
2,0.41,7.81342
2,0.4,7.91384
2,0.39,8.49208
2,0.38,8.64274
2,0.37,8.86765
2,0.36,8.89174
2,0.35,9.05982
2,0.34,9.25005
2,0.33,9.34496
2,0.32,9.50716
2,0.31,9.72739
2,0.3,10.3646
2,0.29,10.5374
2,0.28,10.7565
2,0.27,10.9415
2,0.26,11.151
2,0.25,11.8564
2,0.24,12.1578
2,0.23,12.4026
2,0.22,12.6946
2,0.21,12.9056
2,0.2,13.9008
2,0.19,14.1888
2,0.18,14.3781
2,0.17,15.5842
2,0.16,15.7692
2,0.15,15.8784
2,0.14,17.1186
2,0.13,17.1361
2,0.12,18.4276
2,0.11,19.7251
